bin,d_lo,d_hi,n,gamma_alpha,gamma_rate,gamma_ll,exp_rate,exp_ll,gamma_minus_exp_ll
0,1.0960,1.1793,64519,11.3527,57.0961,1.4411,5.02928,0.6153,0.8258
1,1.1793,1.2164,64546,11.1672,45.0139,1.2121,4.0309,0.3940,0.8181
2,1.2164,1.2462,64467,10.3521,36.8995,1.0536,3.56444,0.2710,0.7826
3,1.2462,1.2710,64510,9.6128,30.641,0.9074,3.18753,0.1592,0.7482
4,1.2710,1.2913,64520,8.8367,25.4878,0.7686,2.88431,0.0593,0.7093
5,1.2913,1.3097,64531,8.6152,23.2153,0.6889,2.69469,-0.0087,0.6977
6,1.3097,1.3288,64465,8.3669,21.9117,0.6470,2.61885,-0.0373,0.6843
7,1.3288,1.3484,64507,8.4412,21.0621,0.6026,2.49514,-0.0857,0.6883
8,1.3484,1.3697,64502,8.6200,20.7251,0.5752,2.40431,-0.1227,0.6979
9,1.3697,1.3924,64549,8.8266,20.1224,0.5329,2.27975,-0.1759,0.7088
10,1.3924,1.4165,64467,9.0206,19.5998,0.4948,2.17279,-0.2240,0.7188
11,1.4165,1.4427,64507,9.2043,18.9868,0.4522,2.06281,-0.2759,0.7281
12,1.4427,1.4719,64534,9.4234,18.5032,0.4137,1.96353,-0.3253,0.7390
13,1.4719,1.5042,64496,9.5646,17.7204,0.3625,1.85271,-0.3833,0.7459
14,1.5042,1.5421,64525,10.2429,18.113,0.3477,1.76835,-0.4300,0.7777
15,1.5421,1.5782,64487,10.3673,16.6777,0.2587,1.60868,-0.5246,0.7833
16,1.5782,1.6176,64541,10.9846,16.5964,0.2230,1.51088,-0.5873,0.8104
17,1.6176,1.6606,64559,11.1532,15.7033,0.1596,1.40797,-0.6579,0.8175
18,1.6606,1.7091,64439,11.3306,14.7658,0.0897,1.30318,-0.7352,0.8249
19,1.7091,1.7643,64471,11.7798,14.2362,0.0326,1.20853,-0.8106,0.8432
20,1.7643,1.8274,64552,12.2698,13.4203,-0.0480,1.09376,-0.9104,0.8624
21,1.8274,1.9026,64465,12.4350,11.9583,-0.1704,0.961664,-1.0391,0.8687
22,1.9026,1.9927,64541,12.5017,10.3321,-0.3194,0.826456,-1.1906,0.8712
23,1.9927,2.1159,64479,12.4513,8.63969,-0.4962,0.693881,-1.3655,0.8693
24,2.1159,2.2470,64544,12.4880,7.51509,-0.6372,0.601783,-1.5079,0.8707
25,2.2470,2.4163,64575,12.4744,6.99351,-0.7085,0.560628,-1.5787,0.8702
26,2.4163,2.6528,64417,13.3148,6.94239,-0.7502,0.521405,-1.6512,0.9010
27,2.6528,3.0259,64483,13.4673,5.99952,-0.9022,0.445488,-1.8086,0.9064
28,3.0259,3.9062,64557,13.2067,4.38172,-1.2061,0.33178,-2.1033,0.8971
29,3.9062,79.4244,64454,13.5069,4.91009,-1.1041,0.363524,-2.0119,0.9078
